BAT ID,Unnamed: 0,BAT Name,CTPT Name,spec. source,FWHM narrow [km/s],err,F(OI 6300) [e-15 erg/s/cm2],err.1,F(NII red) [e-15 erg/s/cm2],err.2,F(NII total) [e-15 erg/s/cm2],err.3,F(Ha narrow) [e-15 erg/s/cm2],err.4,F(SII blue) [e-15 erg/s/cm2],err.5,F(SII red) [e-15 erg/s/cm2],err.6,F(Ha broad) [e-15 erg/s/cm2],err.7,FWHM(Ha broad) [km/s],err.8,Unnamed: 23,quality flag,6DF flag: flux calibration problem,EQW(Ha broad) [A,high z,comments,Two broad components,table,Corrected F(OI 6300) [e-15 erg/s/cm2],Corrected F(NII red) [e-15 erg/s/cm2]
246.0,,,2MASX J04544295-4314231,6DF,268.8495049,134.4247524,-1.81,0.0,4.029573443,0.0,0.0,0.0,3.561286818,0.0,1.337529695,0.9079101615,1.643705868,0.0,0.0,0.0,0.0,0.0,,9,6.0,0.0,0,,,,,
260.0,1.0,,2MASX J05081967+1721483,Palomar_txt,419.6007011,0.0,1.25,0.1107511102,27.69207318,0.1980761604,0.0,0.0,26.93792011,0.3986788946,8.772998023,0.3183852325,8.693198446,0.2313538992,71.44927836,0.0,3709.566811,0.0,,1,,32.21248635,0,,,,,
325.0,,,Mrk 3,Crenshaw_Deveny,784.3101464,1.659989076,404.58,0.6859412677,1401.222998,1.841219922,0.0,0.0,1049.193059,2.802562107,568.563274,0.8840977541,469.8128828,0.4547179073,2139.39803,5.440603112,2229.616877,5.08,,2,,148.4675115,0,,,,,
334.0,,,6dF J0626586-370559,6DF,399.9836929,8.767711591,-4.28,0.235391903,11.73888274,0.5451443652,0.0,0.0,29.30331319,0.3665954646,5.373652226,0.212967655,3.814749861,0.173232474,107.4070988,1.248076702,4103.75657,104.2822816,,2,6.0,64.58891441,0,,,,,
348.0,,,2MASSJ06543417+0703210,Palermo,268.8495049,23.8589384,4.1,0.618072864,-5.716267172,0.0,0.0,0.0,-5.716267172,0.0,6.938274572,0.7443640844,4.689745773,0.7341033751,598.4105751,0.8316974805,2025.872886,3.109360027,,2,,131.3284748,0,,,,,
349.0,,,UGC 03601,KPNO,477.4125017,1.063190236,23.98,0.532465352,77.68785175,0.4683896453,0.0,0.0,108.6893894,0.8101657783,50.46750126,0.1343462558,47.24788809,0.5684884751,144.656051,0.9702862575,4667.406662,63.9,,1,,68.30923888,0,,,,,
362.0,1.0,,MCG +06-16-028,Palomar,410.5005007,0.0,5.92,0.1892275445,59.06684002,0.1675619548,0.0,0.0,83.43975799,0.2865319232,19.14678542,0.2340398454,18.68809498,0.1349544358,109.7470168,0.0,2526.250281,0.0,,1,,56.18712689,0,,,,,
372.0,,,1RXS J072720.8-240629,Palermo,783.2741083,9.703449479,31.42,1.744464852,-158.8064793,1.582196486,0.0,0.0,219.2443732,1.795930111,64.48641904,0.7901088795,48.43195807,1.19800338,1168.174146,6.938095819,12435.76859,69.40607089,,2,,290.6078594,0,,,,,
395.0,1.0,,B3 0749+460A,SDSS,478.6814725,0.0,2.55,0.085507147,11.05029113,0.1201077626,0.0,0.0,4.39181018,0.0835739621,2.589074366,0.0925147307,2.850000332,0.0576160177,42.5193224,0.2336760468,9335.421314,94.03222038,,2,,32.12314405,0,,,,,
399.0,,,2MASX J07595347+2323241,SDSS,331.9044412,3.917286841,0.99,0.061378493,13.91649371,0.0862148029,0.0,0.0,8.812764479,0.1187835763,3.303640961,0.0379165935,2.644890276,0.0733059774,11.43128791,0.5472009086,2023.897373,78.85190289,,2,,9.423036368,0,,,,,
400.0,,,IC 0486,SDSS,365.3064586,3.212479751,3.77,0.0800083721,28.46554263,0.2793190952,0.0,0.0,21.96641462,0.2457743159,10.58035756,0.1300350888,9.939710493,0.0499065945,27.84928258,0.4121013207,3168.827226,115.1955836,,1,,12.94573867,0,,,,,
404.0,,,Mrk 1210,Palomar_txt,592.7051787,0.591966896,76.5,0.066619269,90.782992,0.111510606,0.0,0.0,173.056808,0.5539984538,38.56328863,0.0825101213,45.65136897,0.1883572415,253.2688237,0.7402986835,2048.869209,3.261021252,,1,,213.8312606,0,,,,,
432.0,,,2MASX J08451850+1420345,SDSS,354.2338974,0.4451630293,5.2,0.0460163085,18.43285485,0.1757728337,0.0,0.0,46.27198519,0.239996768,12.50808792,0.0578981523,10.47372728,0.0751650571,167.2304059,0.82474078,5218.384301,12.7237818,,2,,284.8403713,0,,,,,
