,Broad Halpha Flux,Distance,Intrinsic 14-150 Flux,NH,Type,Intrinsic X-ray Luminosity,Broad Halpha Luminosity
1118,516.4793669,266.79,25.6,20.0,1.2,2.1806238957e+44,4.39940331679e+42
1122,878.1346981,536.42,9.8,21.46,1.2,3.37471970065e+44,3.02393720969e+43
1127,136.4705547,69.55,14.3,24.0,1.9,8.27812564084e+42,7.90014264393e+40
1132,4743.811852,861.53,11.7,20.0,1.2,1.03926997172e+45,4.21376171731e+44
1141,469.4944106,100.02,10.5,20.0,1.2,1.25708518152e+43,5.62089967972e+41
1143,276.7143405,316.9,13.7,20.0,1,1.64651902425e+44,3.32566004319e+42
1149,408.5329596,404.74,16.0,21.52,1.5,3.13670694015e+44,8.00905106035e+42
1150,492.1452726,130.74,11.5,20.0,1.9,2.35242891594e+43,1.00672762618e+42
1151,1710.628354,271.75,38.5,23.18,1.5,3.40252670514e+44,1.51180744339e+43
1153,231.1843322,524.31,18.3,21.72,1.2,6.02045173558e+44,7.60565089636e+42
1157,79.57254879,18.618,42.5,21.6,1.9,1.763017769e+42,3.30088982214e+39
1161,615.1536785,105.53,26.7,20.0,1.9,3.55848258797e+43,8.19855301075e+41
1162,689.8605075,109.96,14.4,20.0,1.5,2.08369266013e+43,9.98234219437e+41
1165,7.941417222,372.5,30.7,23.76,1.9,5.09791555323e+44,1.31871903488e+41
1168,92.0483371,296.5,9.3,21.79,1.5,9.78439667628e+43,9.68427358686e+41
1172,769.9119813,292.0,87.5,20.0,1.2,8.92843751093e+44,7.85612687309e+42
1178,979.6861638,147.91,21.4,20.0,1.5,5.6028701167e+43,2.5649786593e+42
1182,2304.794311,69.99,56.3,20.53,1.5,3.30051787653e+43,1.35115716255e+42
1184,13.42613637,33.85,20.0,24.16,1.9,2.74251523735e+42,1.84106917867e+39
1187,740.8563154,332.17,9.8,21.64,1.5,1.29404266726e+44,9.7826498208e+42
1195,529.5582947,566.85,15.3,21.11,1.2,5.88341441513e+44,2.03634699653e+43
1200,34.28762307,213.86,12.1,20.41,2,6.62286957885e+43,1.87671451042e+41
